zipcode,Business,Public,Residential,total_landuse_area_sqft,Business_density,Public_density,Residential_density
11201,53562354.0,15175007.0,23128365.0,91865726.0,0.5830504621495072,0.165186818422357,0.2517627194281358
11203,5590590.0,9289328.0,25421211.0,40301129.0,0.13872043138047074,0.23049795949885177,0.6307816091206775
11204,5878732.0,4325675.0,27240044.0,37444451.0,0.15699874996164317,0.11552245751980714,0.7274787925185496
11205,11069284.0,4308373.0,15582038.0,30959695.0,0.35753853518259787,0.13916070555604634,0.5033007592613558
11206,20191885.0,5545977.0,25769741.0,51507603.0,0.39201756292173023,0.1076729779096884,0.5003094591685814
11207,12686240.0,6509004.0,29307102.0,48502346.0,0.261559306842601,0.13419977664585545,0.6042409165115435
11208,9529346.0,4998499.0,25195262.0,39723107.0,0.23989427614511624,0.12583353562952665,0.6342721882253571
11209,8360058.0,4631929.0,28691168.0,41683155.0,0.20056202559523145,0.11112232267447125,0.6883156517302973
11210,5051282.0,4512554.0,26227650.0,35791486.0,0.1411308264764419,0.1260789786710728,0.7327901948524853
11211,16126791.0,2858087.0,21301684.0,40286562.0,0.4003019915176679,0.07094392914441297,0.5287540793379192
11212,9686094.0,5368412.0,28256031.0,43310537.0,0.22364289780105936,0.12395163791203974,0.6524054642869009
11213,5327324.0,3480718.0,25284240.0,34092282.0,0.15626187768832842,0.10209694968497562,0.7416411726266959
11214,7582766.0,3302873.0,30946130.0,41831769.0,0.1812681170619392,0.07895609195967783,0.739775790978383
11215,12614347.0,4122403.0,28912777.0,45649527.0,0.27633028924921826,0.09030549210290832,0.6333642186478734
11216,6602725.0,3260264.0,23306521.0,33169510.0,0.19906007052862704,0.0982909907321513,0.7026489387392216
11217,16804989.0,3574127.0,15061662.0,35440778.0,0.4741709959075955,0.1008478707775546,0.42498113331484993
11218,6922363.0,2841905.0,26345333.0,36109601.0,0.1917042229295195,0.07870219889718527,0.7295935781732953
11219,10198773.0,5623325.0,27342958.0,43165056.0,0.23627382760722007,0.1302749381351434,0.6334512342576365
11220,13613488.0,9431261.0,22606888.0,45651637.0,0.29820372049308985,0.206591956384828,0.4952043231220821
11221,6347469.0,4579982.0,32497289.0,43424740.0,0.14617172146568982,0.10546941674262184,0.7483588617916883
11222,21111884.0,1961459.0,15149584.0,38222927.0,0.5523356178348142,0.05131629506029196,0.3963480871048939
11223,6534472.0,3105495.0,28207440.0,37847407.0,0.17265309615530597,0.08205304527203144,0.7452938585726626
11224,8803005.0,2333837.0,17529326.0,28666168.0,0.3070869116513934,0.08141433483540597,0.6114987535132006
11225,7868115.0,2554369.0,21182554.0,31605038.0,0.2489512906138572,0.08082157661066568,0.6702271327754771
11226,9801414.0,2790225.0,36865969.0,49457608.0,0.1981780841483478,0.056416497134273054,0.7454054187173791
11228,2139083.0,1568241.0,16196673.0,19903997.0,0.10747002222719386,0.07879025504274342,0.8137397227300627
11229,5454766.0,2271473.0,33268659.0,40994898.0,0.13305963098139675,0.05540867548932552,0.8115316935292777
11230,7074178.0,3202709.0,33920160.0,44197047.0,0.16005996961742716,0.07246432097601453,0.7674757094065583
11231,10624857.0,1891910.0,14898227.0,27414994.0,0.38755642259122874,0.06901004610834495,0.5434335313004264
11232,17720815.0,8214329.0,6634371.0,32569515.0,0.5440920750585325,0.2522091286898193,0.20369879625164822
11233,5749198.0,3577697.0,25742351.0,35069246.0,0.16393845479312558,0.10201807589475975,0.7340434693121146
11234,7712439.0,26461438.0,36766775.0,70940652.0,0.10871677638372988,0.37300810260384976,0.5182751210124203
11235,9453241.0,5231261.0,33956480.0,48640982.0,0.1943472481702775,0.1075484249063886,0.6981043269233339
11236,6337534.0,6003646.0,31939229.0,44280409.0,0.14312275209562766,0.13558244233922953,0.7212948055651428
11237,10575788.0,2157177.0,13045590.0,25778555.0,0.41025526838102444,0.08368106746091858,0.5060636641580569
11238,10709754.0,3944136.0,24996577.0,39650467.0,0.27010410747495106,0.09947262411814721,0.6304232684069018
11239,2377578.0,2557776.0,9042913.0,13978267.0,0.1700910420440531,0.18298233965626784,0.646926618299679
11241,290440.0,,,290440.0,1.0,,
11249,17433695.0,1394670.0,9514088.0,28342453.0,0.6151088968904703,0.049207808512551826,0.3356832945969779
11251,,7301811.0,,7301811.0,,1.0,
