,Zipcode_ID,ZIPCODE,Zipcode_PO_NAME,Zipcode_POPULATION,Zipcode_AREA,Zipcode_ST_FIPS,Zipcode_CTY_FIPS,Zipcode_Area_sqft,Sidewalk_ID,Sidewalk_Shape_Length,Sidewalk_Shape_Area,Street_FAIR,Street_GOOD,Street_NR,Street_POOR,Street_sum_length_ft,Street_fair_ratio,Street_good_ratio,Street_nr_ratio,Street_poor_ratio
26,27,11220,Brooklyn,97257,47453785.7906374,36,47,47453786.3718,19,732396.2323984429,4296640.562953863,39917.44435942172,134698.8534886056,19425.96384289268,189.781500693942,194232.0431916139,0.2055142071488294,0.6934944990292998,0.1000142073557274,0.0009770864661435839
27,28,11234,Brooklyn,85853,206201040.087973,36,47,206201039.65,32,1767784.210449949,8749836.791371921,86395.57005896926,279916.5912316029,44797.18005755283,5569.628907170996,416678.970255296,0.2073432455831293,0.6717799822249252,0.1075100575152759,0.01336671467666949
28,29,11209,Brooklyn,69255,57842313.9612272,36,47,57842314.0566,8,900441.9879191149,4628392.755386393,50963.81615757629,118947.8556237861,30859.14830627201,776.0389021764734,201546.8589898109,0.2528633609723123,0.5901746929720173,0.1531115317844376,0.003850414271232605
29,30,11228,Brooklyn,43080,43893024.7317224,36,47,43893024.5468,26,722859.2943115553,3481572.124701325,21817.80600928086,109435.8954415175,1252.939402957246,,132506.6408537556,0.1646544344397097,0.8258898930378836,0.009455672522406519,0.0
30,31,11229,Brooklyn,79608,60119326.1442695,36,47,60119325.8937,27,1057998.489234357,5180143.961089432,89560.74868703714,156678.8668540308,,3077.26098499708,249316.8765260651,0.3592245737029917,0.6284326558120131,0.0,0.01234277048499508
31,32,11214,Brooklyn,89061,61096539.3891465,36,47,61096539.4823,13,972769.3795991222,5034379.372810188,55623.13347695336,170456.9154847853,16981.13468359826,1793.727207446869,244854.9108527839,0.2271677267293859,0.6961547754591312,0.06935182400245167,0.00732567380903104
32,33,11223,Brooklyn,79864,58702923.4662996,36,47,58702922.8435,22,1021142.032683196,5348754.084779994,55030.22824966872,176495.2207476254,1382.933807940959,2417.587585052808,235325.9703902878,0.2338468132454788,0.7500031571309714,0.005876673134067457,0.01027335648948241
33,34,11235,Brooklyn,76130,69053803.0317134,36,47,69053803.4779,33,1024124.281253815,5134190.503686726,59463.48690239881,172340.804040892,36267.5307407748,3009.818420965906,271081.6401050315,0.2193563786885732,0.6357524027599876,0.1337882223477872,0.01110299620365194
34,35,11224,Brooklyn,49600,46701983.7536391,36,47,46701983.6922,23,577415.4588940297,3555011.777438315,13902.95576670685,77018.84132970517,43937.14313171405,1898.485611233714,136757.4258393598,0.1016614321407143,0.5631784954783683,0.3212779332606349,0.01388213912028253
35,36,11221,Brooklyn,80232,38580480.4343075,36,47,38580479.1672,20,738714.8420946973,4632403.032446712,48195.19071843856,108289.9386638348,,,156485.1293822734,0.3079857549959512,0.6920142450040488,0.0,0.0
36,37,11216,Brooklyn,53862,26478229.2634433,36,47,26478229.2102,15,477667.5318196953,2994543.134934614,34411.73507709818,59144.52474571628,218.5865846022359,,93774.8464074167,0.3669612523553709,0.6307077751826475,0.002330972461981529,0.0
37,38,11233,Brooklyn,66737,37871693.6822543,36,47,37871693.8285,31,724459.8939117705,4886383.260057987,48839.00194049869,105829.6419974222,103.4625975154925,267.8246879527659,155039.9312233891,0.3150091821837115,0.6825960329209491,0.0006673287113783513,0.00172745618396122
38,39,11211,Brooklyn,60861,40470881.6712834,36,47,40470881.7464,10,670476.4786714893,4163832.41675054,51420.42619808297,117929.1498894291,8988.372736972675,,178337.9488244847,0.2883313761149598,0.6612678382069522,0.05040078567808796,0.0
39,40,11249,Brooklyn,28481,17772206.1701202,36,47,17772206.088,38,312092.2862868843,1789432.163287847,19781.6387174002,45449.37338075279,3686.189471111273,81.46786776267565,68998.66943702694,0.2866959447015761,0.6586992727770367,0.05342406601732443,0.001180716504062864
